book_id,book_title,excerpt,target
1342,Pride and Prejudice,earliest believe serving kitty visit addressed bingley disclosed waited contain like resentfully little keep always evening coughing go said though meet manner since introduce knowledge niece woman forget way trimming nerve following one mother two hypocritical scolding selfish assuring find last mamma sake make elizabeth heaven till know piece daughter shall hope long suddenly among thing depend hat observing opinion promised began second wife lizzy glad unable reply assembly compassion employed tear intended deigned mr bennet paid,-0.7792488465437202
84,"Frankenstein; Or, The Modern Prometheus",life collecting dear participate brother impatient commit first evil object pass step many hired common cultivated like capacious assailed medium ceased extended eight mind power regulate certainly language wild could difficulty never ran none engaged dauntless courage sense deem frost voyage derive glowing joy england schoolboy taken still fourteen severe sailor already archangel gentle repair satisfy dejection important able whose sustain self acquainted uncle thomas enterprise magnificent need may illiterate appear one greater greatly celebrated success vessel disappointment communication feel nothing near country absence affection bitterly fifteen courageous sister saville enough snow encompassed eye time plan margaret romantic feeling friend shall thought yet amend keeping necessity sympathise endeavour well call slowly benefit march fault paper became depend year reality towards mine conviction painter native book men read man approve despise second enthusiasm taste daydream possessed want poet becoming reply educated perceived desire twenty company ardent would execution mr poor age true occupied,-1.4769430599900268
11,Alice's Adventures in Wonderland,getting door manage dear sure great new direction must garden let like largest fact nine little kind far shoe telescope look put took go perhaps curiouser much odd way able give quite almost stocking seem one high planning head moment present see sight looked bye hurried opening forgot ever wonder hall pair alice best every foot struck shall thought boot oh roof good christmas carrier key sending speak walk nonsense funny seemed deal want cried english trouble golden surprised talking would went poor,-0.9084232144220312
16328,Beowulf: An Anglo-Saxon Epic Poem,land season beloved lifetime kinsman governed scylfing found men great obeyed bedmate grim leader father elan woke agã battle consort manhood scyldings famed mid dwelling healfdene grander beowulf era departed sprang glory given born heard grew hall till folk bairn world dane lasting heorogar willingly trooper mooded building long hrothgar burned minded well band boy good urge mead spirit war belovã afterward body succession halga waxing numerous borough prince ongentheow graciously four fame bidding,-1.7002879958311081
1661,The Adventures of Sherlock Holmes,life bizarre rose door dear withdraw deep sherlock room many judicial partner holmes florid helper elderly little questioning try fiery come could hair engaged upon said better behind somewhat together armchair successful use quick intrusion much gave putting humdrum also cordially autumn case encircled chair saying one chronicle half afraid routine red last glance love closed gentleman possibly eye everyday time relapsing know relish friend outside share custom greeting wait found year wilson fingertip convention fat watson enthusiasm pulled prompted day apology excuse adventure settee stout doubt next small abruptly bob shown embellish faced mr utmost conversation called mood,-0.802612596544167
2701,"Moby Dick; Or, The Whale",counterpane going street knight cabin nantucket cetology deck night chapel spouter prophet stubb biographical chowder first ramadan advocate astir enter queen sunset ship inn hark loomings breakfast dusk ahab extract watch affidavit chapter dick mark content squire pipe sermon wheelbarrow specksnyder aboard surmise carpet supplied pulpit mab bag mat friend quarter maker bosom midnight moby lee nightgown sub whiteness postscript christmas shore etymology head forecastle librarian merry table chart whale mast,-1.5879399917847972
25344,The Scarlet Letter,genuine life whatever feature purpose undertaken detriment sincere disapprobation adjudged field atrocity reparation considerably power frank truth supposed kind far could surprise conceives omitted spirit carefully ember character described availed weigh scarlet without co osgood perhaps better reserved smoking immediately illustrated late enmity excitement heavily guilty conscious disclaims page may burned effect venerable certain r personage general ticknor october author around done james find last might political make hawthorne unprecedented hardly nathaniel loss respectable leave blood livelier impression best sketch additional feeling motif accuracy quenched ill custom boston right good deserving therein remarkable found utterly introductory say uch public house created personal book read peculiar humor violent offence community alter ability kindlier letter expunge appears amusement iv cherish begs wholly malevolence company indeed write would amiss conveyed copyright official,-1.9281587275695167
1232,The Prince,parent life son returned literary public week without greatness lorenzo second youth eighth driven wife influence entered expulsion era nobility bernardo enough nicolo lawyer singularly nelli florentine magnifico ruled born three lasted june de important fifty distinct increasing period di medici power stefano regained bartolommea government downfall guidance may within fall repute italian service lost activity naturally died machiavelli member florence concurrent history il occurred free republic career office constitutes year old official,-1.4767370402398032
1952,The Yellow Wallpaper,mere marriage course house declare cheaply living superstition believe practical physician openly great height perhaps people john reach still patience proudly let ancestral something haunted felt horror untenanted like ordinary much stood scoff soul faster hall felicity queer seen faith hereditary romantic talk mind sick else summer laugh long expects relief colonial secure well would one extreme say fate reason get seldom estate mansion figure intense put thing dead paper see asking,-1.6178995952801953
174,The Picture of Dorian Gray,stillness necessarily rose door bird divan curtain flamelike garden woodbine window odour light thorn organ like medium jade tree tokyo honey bag art summer kind sullen front could catch shadow dim momentary swiftness branch amidst oppressive sense pallid immobile flowering laburnum smoking innumerable straggling filled making way note roar whose able flight producing effect seek insistence beauty persian unmown wotton think circling bourdon murmur bee perfume lilac open henry make pink lying hardly corner round fantastic bear scent london burden monotonous wind gilt shouldering blossom rich grass sweet long horn stirred custom flitted huge came across tremulous heavy silk convey painter delicate stretched distant japanese cigarette gleam seemed coloured tussore saddle lord faced motion studio dusty,-1.453608374543417
5200,Metamorphosis,antenna street getting dark hurried sound stretched badly door coma top left whole limped pushed deep palely fully room seemed ceiling step disturbed leading happening morning felt light woken enough dragged anyway awoke like impression shut soon shone beginning way order furniture clumsily electric even feeling onto scar along painfully front gregor injured sleep evening side would one event miracle rested afterwards carefully lamp learn value two row nearly lifelessly see leg,-0.7634323246122042
98,A Tale of Two Cities,mere rapping authority life america darkness dozen earthly fish congress plain evil thousand recently heralded originality brood light like human chicken france southcott fair conceded period appearance far supernaturally spiritual come event throne crown spirit arrangement laid cock lately revelation noisiest favoured settled incredulity short england queen swallowing hundred westminster epoch lane proved state comparison way important subject worst u message one announcing jaw general ghost attained present communication nothing season country last crystal british people birthday seventy race round deficient london heaven time ever king best received belief large even seven guard five yet hope sublime everything direct superlative good rapped made thing despair year going private loaf past prophetic clearer winter order twentieth relate spring lord english preserve face degree wisdom foolishness mr blessed insisted strange age,-1.894672476710442
64317,The Great Gatsby,sign suppression judgement great must veteran unknown realized marred whenever many suggested gold hatted preoccupation like youâ obvious privy opened reserve missing consequence mind little detect vulnerable wild habit sleep always unsought reserving advantage â invilliers unusually revelation remember sense fundamental iâ unmistakable father since still reserved quick forget gave didnâ attach way also thomas told levity decency high person bounce nature move grief accused unjustly afraid weâ feel matter cry parcelled people quality bouncing bore something zelda unequally understood meant ever communicative havenâ till younger confidence infinite intimate college hope feigned plagiaristic horizon parke made politician turning abnormal birth came year hat curious say snobbishly inclined men anyone deal dâ secret advice wear victim world appears frequently young usually lover quivering criticizing repeat hostile normal express term least,-0.9836629880204665
2542,A Doll's House : a play,door entrance bound burn room china nearer number ring object tune window outer opened end tree wall humming carrying easy furnished footlights tastefully farther piano bell side lead spirit porter comfortably scene basket outdoor carry fire heard floor rocking cabinet give case helmer leaf extravagantly chair carpeted high two near left open round hall well right christmas nora back hand middle book shortly stand enter dress sofa beyond winter seen lay stove another maid small arm engraving study afterwards table parcel,-0.7569585094389327
345,Dracula,life america kept dear pesth congress shorthand follows new garden depth train width united little far danube bram early error could grosset west printed splendid typographical feared took station turkish arriving go vienna start reserved p l late list state buda note corrected transcriber rule may u n r bridge c east correct seems hour near country according left entering press place western morning york stoker impression time possible publisher every dunlap noble friend etext arrived city leaving original right replicate made among text street glimpse walk beg munich tradition wonderful bistritz next would attempt got hommy copyright act,-1.305624556361657
1080,A Modest Proposal,spain door dear great number infant object useful sex thief fair child easy alms town deplorable publick could method work agreed fight sound pretender employ father nation state turn crowded livelihood making either cabbin able sustenance helpless beggar mother importuning deserve present four think see find country prodigious passenger therefore cheap party stroling leave statue forced time every female additional grievance travel commonwealth well heel member kingdom set back instead street native walk whoever beg six want three rag grow followed frequently honest sell arm preserver would melancholy barbadoes road,-0.7267130740251643
43,The Strange Case of Dr. Jekyll and Mr. Hyde,etc life offended church unexplained clothed room step bad month charge benefactor provided content household delay opened lend attribute period neighbouring hitherto shoe clock brow holograph could evening side clouded spirit free eyesore business upon took night without go said dinner though taken knowledge refused already l utterson fire candle turn sane soon making indignation baffled desk case swelled bed soberly cloth r doctor fanciful learn c part hour decease document absence possession sat henry pas safe hyde sudden volume sit ignorance enough eye insubstantial relish friend fiend long custom presentment exceeding bachelor name definite member endorsed made divinity burthen assistance shifting mist came hand payment however private house twelve detestable away began obligation dr worse f envelope jekyll dry beyond lawyer three immodest sum close rang leaped sombre customary calendar lover edward small home disappearance would reading went mr gratefully meal study least sunday,-1.0462406346115696
205,"Walden, and On The Duty Of Civil Disobedience",life considering living concerning fit purpose first addressed must sincere lived many lonesome maintained month impertinent simple commonly like ask pond send account child else retained trust always sincerely side walden omitted student none reader labor remember knew devoted theme perhaps though wood much family heard sojourner putting wrote coat page may asked moreover appear following seam person apply two learn present main difference afraid land feel experience last circumstance massachusetts therefore eat natural egotism civilized writer every townsman large notice talk confined rather income charitable kindred neighbor built well call narrowness good shore made year curious hand undertake inquiry house distant unfortunately book anybody men bulk speaking mile require others stretch answer concord earned affair portion respect merely particular obtrude accept alone rest service pardon would got mode particularly poor pertinent question interest,-1.3749078516487414
2591,Grimms' Fairy Tales,asleep arrow eldest bird ordered whole first must garden noise gold let missing tree gardener consented clock flew keep ripe come always fear laid agreed night said together use watch stood heard shot one certain gone counted apple son last fell jumped beak bore worth morning time king every pure struck wealth dropped brought tail beautiful kingdom became found set came however snapping twelve angry away man offered rustling council began second harm grow young feather air golden another midnight would flying everyone third called,0.047232559831961396
6130,The Iliad,mere life strong record whole church great narrative emancipate unlearning must sifted flaxman sinecure thin partiality homer dream wholeâ acquired content standard human evidence extended fact fresh temperate jealously stripping furnished induction attractive could working traditional consider difficulty veil indulgence alois le character contemplating old exacting education sinecurists prejudice healthy buckley chastisement level scepticism since incident revenue former respective knowledge ear surrounded forget ingredient traditionary much regard making note actively comparatively previously important brief individual design conservatism conventional alexander form u measure relation society one imposture pertinacious person bearing nature statement general aside learn value antagonist iliad present part mass correct touchstone ascendency experience gained find gradual superstition havoc lieu subjected allow wholesome theodore something handling shut writer tawdry time probability best know large rather cost anxiety credulity analysis motif labour estimated pluralist acquire class historical consistency recent swept progress among set thing result principle pope conviction view daily finding away criticism translated troublesome literature rapid day f real abuse watched forming attache rev whether portion tradition help powerful different condition demand embrace closely detail another small handed actual viewed write notion being test history continually ancient age,-2.316211119067689
1260,Jane Eyre: An Autobiography,miscellaneous indulgent public remark unnecessary future thanks inclined suffrage obscure april first title jane second plain denied therefore ear press fiction already pretension consequently field claim serve rectify gave awarded three aspirant opened avail affords novelist tale fair demand explain opportunity eyre quarter preface currer honest mistake may attributed alone error rest bell honour prevent one respectfully addressing made merited work justly authorship acknowledgment due author inscribed none third edition word explanation,-1.8116727932941892
1250,Anthem,ploughed pleat street white opening wide sparkle speak men live great whisper lie first tunic others must forbidden gull thousand woman thin liberty beyond take field like spangle soil wind three beating end hedge notice whose green fan clean milepost along wing five dare city apart keep u write home winding come sea one toward name sweeper north furrow wish assigned work black spreading among think road sky peasant forth gathered hand,-1.0455849376955901
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,deadest raise whatever visitor door undertaker fezziwig haunt departed burial cratchit chose mind chief little endeavoured simile spirit wish extinguishes dead put reader old signed change upon december knowledge pleasantly regard register disturb servant may firstof one ghost idea c begin coffin done season last country might marley ancestor ironmongery therefore ignorance unhallowed anything permit faithful know piece friend shall clerk name good emphatically hand say house inclined book nail mourner trade scrooge usurer want three lay clergyman doubt humour repeat bob ghostly wisdom mr mean particularly third ball,-1.3901901026872665
1497,The Republic,life future great new first conceived realized nearer reach many grouped sophist polit cause symposium elenchi content like end psychology circle irascible contemplate mind distinction power art truth certainly vii lose metaphysical rational nowhere always show excellence contains method socrates work word old ff doctrine clearly outline upon unnecessary higher philosophy concupiscent approach deeper ebook aristotle institution germ formula accident still discovered knowledge politics although essence state note also contained centre necessary form may writing one style greater logic arguing existence attained difference see around sight genius bind philebus perfection definition politicus v drawn bare rep longest greatest division ever writer claim soph irony interweave highest abstraction supplied vi wealth analysis point thought yet statesman neither plato jowett exception well e logical invented distinguished made thinker contradiction speculation especially substance republic equal pleasure syllogism among found thing veiled principle view ideal imagery probably greek book science metaphysics modern bacon strenuously unlike largeness apt seen condition desire world fallacy avoided humour dialogue cp confusion instrument protagoras connect attempt dramatic notion mean element imago based g insisted law cratyl ancient age,-2.4174662881250226
74,"The Adventures of Tom Sawyer, Complete",generosityâ box revenge intoâ strong charm attending settledâ entrance triumph lessonsâ new churchâ witch xxix xv piratesâ story signal escape reveals dream useful asserts chapter take musicâ satisfied xxxiii xxiv heroesâ ministerâ himselfâ camp douglas conscience truth vii reward aid potter reconnoitersâ early introduced come lifeâ saved challengeâ x search luck detective show bitter jobâ commences protection awful work track happy dead â old upon becky scene welshman punishment night jones ladiesâ explains joeâ secretâ approachesâ betrayed exploring enacted entered failure nobility temptationsâ campâ fire viii courseâ houseâ xxxii way sundayâ xi vision xix mount nicâ note horrorâ self repentance steal xvi ii strategic subject expeditionâ springing treaty treasure u xiii mental oathâ school war report xxvii felicityâ ghost fireâ practice dentistryâ compare ix pic hour weakens omission joe total acrobaticsâ heroâ xxi movement v xx safe people devilsâ tell splendor reportsâ place sleepy xxvi aunt generalâ vengeance thatcher king lionized confidence talk indian sensationâ vi feeling guard point beguiled tom brings snug innocent hope expects lost xxiii boy xxx rendezvous made lesson memory black youthful terror commission found injun xiv learns despair enemy huckâ situationâ going pirate private goldâ reception twoâ giving away diamondsâ showing xxv surprise xxviii village muff investigatedâ planned day decides dismal polly xii darknessâ huck haunted eloquenceâ court secret jealousâ caveâ xxxiv amusementsâ friendsâ duty climax dilemma xxii order iii xviii pursuit widow young expedition thingsâ adventure iv solemn wonderful xvii circulated xxxi trouble quarter doubt xxxv overshadowed mistake midnight composition cautious lengthy attempt fate superintendentâ mr grave surpriseâ poor becomes examinationâ,-1.2684027001951363
1727,The Odyssey,whole withdraw first reach lived entirely useful written phaeacian little easy ulysses kindly poem endeavoured introduced could acquiesce west work reader add translation rate upon unwieldy scene voyage messina without periplus startling since publish somewhat woman already flaw authoress regard heard making via note either pantellaria knowing also odyssey reached exist give rejoinder coast lipari one scholar mentioned two october existence learn moment main think begin nothing feel thinking pretending make drawn trapani generally therefore argument grimthorpe supplement completed place solve contention johnian ever island anxiously confidence entitled january shall alike point appeared attention likely italian practically name call strait especially among argue found back full gainsay year translating february public urged sicily book published repeatedly base lent dealt incumbent eagle xxii reply english lord young epitomised quarter ithaca within intended allowed athenaeum would confine nausicaa conclusion prominently term question called act,-1.7423122286802988
219,Heart of Darkness,deck remark bizarre ordered ivory whole aware pretty must climate nose kurtz bank like wit send little child along kind could evening strolling difficulty look laid standing agreed impudence somebody said better since harmless several ear accordingly questioned approaching heard note clear bit uncle imagine incredible instructed may asked frightful voice one two move head idea invoice sentence near country sort make lying sleepy silence occur doze anything dictated rain bother rather forepart devil manager weather yes lost rumble fired shore made became flat year heavy alongside nephew prime sending speak away man council steamboat assistant showing men dispose drowsiness answered influence river ago unpleasant sent jerked reply grunted administration lot arm annoying talking alone fine got nearly term poor absurd hoarsely,-0.5070401625813707
408,The Souls of Black Folk,heart life colored fought burn like excellent end problem boil framing town droop side west difficulty never interested hesitant unasked â fail word moon night without delicacy approach curiously water sand smile fire way listen avail compassionately directly occasion may tide voice saying reduce seldom begin half feel last cry rightly sort lie make outrage round unresting flutter blood eye ever wonder till know arthur feeling shall long understand sea mechanicsville instead say southern man require others answer weary real boiling cannot symons simmer mournful nevertheless world rest question,-1.2699924889044256
902,"The Happy Prince, and Other Tales",wilde nutt rose first gold thin useful september sword crane town reputation unpractical happy devoted ruby illustrated acre much stood nightingale quite page may leaf bright one high gain two weathercock prince think selfish red fearing people artistic added lest wished david london carlos statue impression eye rocket walter large january friend really long city remarked fourth jacomb seventh hilt oscar beautiful march edition remarkable column glowed second taste gilded sapphire fifth sixth giant hood admired indeed fine blacker councillor tall third february,-1.092616571952627
23,"Narrative of the Life of Frederick Douglass, an American Slave",life waiting corn dear first must number instance many convert seeking evidence satisfied india farther come could west character slave evident disposed old remember misrepresented emancipation without lash stare sufficiently count woman ala wrote involuntary relation one general fable seldom half peck find ready left might lion stone love rank starves experiment slavery enough time stuff every friend reformer long boston whip made back result anti week sugar men man april ago glad judge whether master followed lay indeed write rest produce complained gather hate reason test history abolitionist increased,-1.9765945112180714
2554,Crime and Punishment,parent hard dashed deeply first room unknown lived story chapter content acclamation child preface vii always evening working work aloud character reader word religious punishment begun though father arrested successful already viii soon dostoevsky ii may crime mother doctor school two part spent epilogue son serious open v translator people youth generally engineering something sickly folk received vi five hope understand instantly found came delicate book nekrassov published seemed shy review final poet iii help english iv brilliant reading petersburg examination poor career third celebrity,-1.0306125540567086
2600,War and Peace,believe invitation warn new first follows greeted fã july mã favorite written kurã frightened cough pã rya liveried try elite importance ran anna slave vasã word scarlet speaker empress without said suffering antichrist still honor family rer used schã high defend war prince see gin nothing lucca buonapartes rank infamy tell footman sit morning horror french faithful grippe friend really arrive li exception well call delivered known reception longer dorovna man day maid la perpetrated news petersburg mean estate st vlovna genoa,-0.8277695178415201
